starting_timestamp,prover,threads,memory_limit,bandwidth_limit,num_variables,run_time
2024-10-08 18:16:54,gemini,4,2G,,10,218931
2024-10-08 18:16:55,plonky2,4,2G,,2,13084
2024-10-08 18:16:55,plonky2,4,2G,,4,10832
2024-10-08 18:16:55,plonky2,4,2G,,7,14997
2024-10-08 18:16:55,plonky2,4,2G,,13,36282
2024-10-08 18:16:55,plonky2,4,2G,,26,8797
2024-10-08 18:16:55,plonky2,4,2G,,52,27604
2024-10-08 18:16:55,halo2,4,2G,,5,8661
2024-10-08 18:16:55,halo2,4,2G,,6,10769
2024-10-08 18:16:55,halo2,4,2G,,7,15122
2024-10-08 18:16:55,halo2,4,2G,,8,21553
2024-10-08 18:16:55,halo2,4,2G,,9,38596
2024-10-08 18:16:55,halo2,4,2G,,10,62396
2024-10-08 18:16:55,scribe,8,2G,,5,82411
2024-10-08 18:16:55,scribe,8,2G,,6,100870
2024-10-08 18:16:55,scribe,8,2G,,7,106842
2024-10-08 18:16:55,scribe,8,2G,,8,89613
2024-10-08 18:16:55,scribe,8,2G,,9,97670
2024-10-08 18:16:55,scribe,8,2G,,10,107461
2024-10-08 18:16:56,hp,8,2G,,5,11267
2024-10-08 18:16:56,hp,8,2G,,6,9253
2024-10-08 18:16:56,hp,8,2G,,7,11613
2024-10-08 18:16:56,hp,8,2G,,8,20843
2024-10-08 18:16:56,hp,8,2G,,9,37411
2024-10-08 18:16:56,hp,8,2G,,10,42016
2024-10-08 18:16:56,gemini,8,2G,,5,33902
2024-10-08 18:16:56,gemini,8,2G,,6,36702
2024-10-08 18:16:56,gemini,8,2G,,7,51830
2024-10-08 18:16:56,gemini,8,2G,,8,93598
2024-10-08 18:16:56,gemini,8,2G,,9,131349
2024-10-08 18:16:56,gemini,8,2G,,10,253861
2024-10-08 18:16:57,plonky2,8,2G,,2,36361
2024-10-08 18:16:57,plonky2,8,2G,,4,42379
2024-10-08 18:16:57,plonky2,8,2G,,7,27119
2024-10-08 18:16:57,plonky2,8,2G,,13,13555
2024-10-08 18:16:57,plonky2,8,2G,,26,31008
2024-10-08 18:16:57,plonky2,8,2G,,52,17436
2024-10-08 18:16:57,halo2,8,2G,,5,12471
2024-10-08 18:16:57,halo2,8,2G,,6,13870
2024-10-08 18:16:57,halo2,8,2G,,7,23112
2024-10-08 18:16:57,halo2,8,2G,,8,25606
2024-10-08 18:16:57,halo2,8,2G,,9,40671
2024-10-08 18:16:57,halo2,8,2G,,10,69361
2024-10-08 18:16:57,scribe,1,4G,,5,85290
2024-10-08 18:16:57,scribe,1,4G,,6,83877
2024-10-08 18:16:57,scribe,1,4G,,7,87412
2024-10-08 18:16:57,scribe,1,4G,,8,105885
2024-10-08 18:16:57,scribe,1,4G,,9,130002
2024-10-08 18:16:57,scribe,1,4G,,10,178562
2024-10-08 18:16:58,hp,1,4G,,5,18065
2024-10-08 18:16:58,hp,1,4G,,6,24903
2024-10-08 18:16:58,hp,1,4G,,7,34872
2024-10-08 18:16:58,hp,1,4G,,8,52542
2024-10-08 18:16:58,hp,1,4G,,9,75035
2024-10-08 18:16:58,hp,1,4G,,10,117771
2024-10-08 18:16:59,gemini,1,4G,,5,48844
2024-10-08 18:16:59,gemini,1,4G,,6,77154
2024-10-08 18:16:59,gemini,1,4G,,7,123572
2024-10-08 18:16:59,gemini,1,4G,,8,205687
2024-10-08 18:16:59,gemini,1,4G,,9,340260
2024-10-08 18:16:59,gemini,1,4G,,10,611520
2024-10-08 18:17:00,plonky2,1,4G,,2,29062
2024-10-08 18:17:00,plonky2,1,4G,,4,181565
2024-10-08 18:17:00,plonky2,1,4G,,7,71943
2024-10-08 18:17:00,plonky2,1,4G,,13,13733
2024-10-08 18:17:00,plonky2,1,4G,,26,106535
2024-10-08 18:17:00,plonky2,1,4G,,52,380055
2024-10-08 18:17:01,halo2,1,4G,,5,18591
2024-10-08 18:17:01,halo2,1,4G,,6,22992
2024-10-08 18:17:01,halo2,1,4G,,7,32657
2024-10-08 18:17:01,halo2,1,4G,,8,49898
2024-10-08 18:17:01,halo2,1,4G,,9,83616
2024-10-08 18:17:01,halo2,1,4G,,10,142759
2024-10-08 18:17:02,scribe,2,4G,,5,83439
2024-10-08 18:17:02,scribe,2,4G,,6,88936
2024-10-08 18:17:02,scribe,2,4G,,7,88853
2024-10-08 18:17:02,scribe,2,4G,,8,95765
2024-10-08 18:17:02,scribe,2,4G,,9,110881
2024-10-08 18:17:02,scribe,2,4G,,10,133977
2024-10-08 18:17:03,hp,2,4G,,5,20484
2024-10-08 18:17:03,hp,2,4G,,6,24666
2024-10-08 18:17:03,hp,2,4G,,7,33016
2024-10-08 18:17:03,hp,2,4G,,8,42507
2024-10-08 18:17:03,hp,2,4G,,9,57313
2024-10-08 18:17:03,hp,2,4G,,10,79935
2024-10-08 18:17:03,gemini,2,4G,,5,39442
2024-10-08 18:17:03,gemini,2,4G,,6,55051
2024-10-08 18:17:03,gemini,2,4G,,7,80657
2024-10-08 18:17:03,gemini,2,4G,,8,127297
2024-10-08 18:17:03,gemini,2,4G,,9,206401
2024-10-08 18:17:03,gemini,2,4G,,10,357786
2024-10-08 18:17:04,plonky2,2,4G,,2,7622
2024-10-08 18:17:04,plonky2,2,4G,,4,8892
2024-10-08 18:17:04,plonky2,2,4G,,7,229011
2024-10-08 18:17:04,plonky2,2,4G,,13,72590
2024-10-08 18:17:04,plonky2,2,4G,,26,35409
2024-10-08 18:17:04,plonky2,2,4G,,52,36429
2024-10-08 18:17:04,halo2,2,4G,,5,17866
2024-10-08 18:17:04,halo2,2,4G,,6,13476
2024-10-08 18:17:04,halo2,2,4G,,7,19477
2024-10-08 18:17:04,halo2,2,4G,,8,29579
2024-10-08 18:17:04,halo2,2,4G,,9,49721
2024-10-08 18:17:04,halo2,2,4G,,10,90695
2024-10-08 18:17:05,scribe,4,4G,,5,85420
2024-10-08 18:17:05,scribe,4,4G,,6,88041
2024-10-08 18:17:05,scribe,4,4G,,7,92548
2024-10-08 18:17:05,scribe,4,4G,,8,87641
2024-10-08 18:17:05,scribe,4,4G,,9,97965
2024-10-08 18:17:05,scribe,4,4G,,10,106957
2024-10-08 18:17:06,hp,4,4G,,5,7065
2024-10-08 18:17:06,hp,4,4G,,6,8872
2024-10-08 18:17:06,hp,4,4G,,7,12006
2024-10-08 18:17:06,hp,4,4G,,8,20639
2024-10-08 18:17:06,hp,4,4G,,9,26084
2024-10-08 18:17:06,hp,4,4G,,10,62904
